"version_full";"version_short";"description";"date (yyyy-mm-dd)"
"15.00.1497.002";"15.0.1497.2";"Exchange Server 2013 CU23";"2019-06-18"
"15.00.1497.003";"15..1497.3";"Security Update for Exchange Server 2013 CU23 (KB4509409)";"2019-07-09"
"15.00.1497.004";"15..1497.4";"Security Update for Exchange Server 2013 CU23 (KB4523171)";"2019-11-12"
"15.00.1497.006";"15..1497.6";"Security Update for Exchange Server 2013 CU23 (KB4536988)";"2020-02-11"
"15.00.1497.007";"15..1497.7";"Security Update for Exchange Server 2013 CU23 (KB4581424)";"2020-10-13"
"15.00.1497.008";"15..1497.8";"Security Update for Exchange Server 2013 CU23 (KB4588741)";"2020-11-10"
"15.00.1497.010";"15..1497.10";"Security Update for Exchange Server 2013 CU23 (KB4593466)";"2020-12-08"
"15.00.1497.012";"15.0.1497.12";"Exchange Server 2013 CU23 Mar21SU";"2021-03-02"
"15.00.1497.015";"15.0.1497.15";"Exchange Server 2013 CU23 Apr21SU";"2021-04-13"
"15.00.1497.018";"15.0.1497.18";"Exchange Server 2013 CU23 May21SU";"2021-05-11"
"15.00.1497.023";"15.0.1497.23";"Exchange Server 2013 CU23 Jul21SU";"2021-07-13"
"15.00.1497.024";"15.0.1497.24";"Exchange Server 2013 CU23 Oct21SU";"2021-10-12"
"15.00.1497.026";"15.0.1497.26";"Exchange Server 2013 CU23 Nov21SU";"2021-11-09"
"15.00.1497.028";"15.0.1497.28";"Exchange Server 2013 CU23 Jan22SU";"2022-01-11"
"15.00.1497.033";"15.0.1497.33";"Exchange Server 2013 CU23 Mar22SU";"2022-03-08"
"15.00.1497.036";"15.0.1497.36";"Exchange Server 2013 CU23 May22SU";"2022-05-10"
"15.00.1497.040";"15.0.1497.40";"Exchange Server 2013 CU23 Aug22SU";"2022-08-09"
"15.00.1497.042";"15.0.1497.42";"Exchange Server 2013 CU23 Oct22SU";"2022-10-11"
"15.00.1497.044";"15.0.1497.44";"Exchange Server 2013 CU23 Nov22SU";"2022-11-08"
"15.00.1497.045";"15.0.1497.45";"Exchange Server 2013 CU23 Jan23SU";"2023-01-10"
"15.00.1497.047";"15.0.1497.47";"Exchange Server 2013 CU23 Feb23SU";"2023-02-14"
"15.00.1497.048";"15.0.1497.48";"Exchange Server 2013 CU23 Mar23SU";"2023-03-14"
"15.01.0225.016";"15.1.225.16";"Exchange Server 2016 Preview";"2015-07-22"
"15.01.0225.042";"15.1.225.42";"Exchange Server 2016 RTM";"2015-10-01"
"15.01.0225.049";"15.1.225.49";"MS16-079 Security Update for Exchange Server 2016 RTM";"2016-06-14"
"15.01.0396.030";"15.1.396.30";"Exchange Server 2016 CU1";"2016-03-15"
"15.01.0396.033";"15.1.396.33";"MS16-079 Security Update for Exchange Server 2016 CU1";"2016-06-14"
"15.01.0396.037";"15.1.396.37";"MS16-108 Security Update for Exchange Server 2016 CU1";"2016-09-13"
"15.01.0466.034";"15.1.466.34";"Exchange Server 2016 CU2";"2016-06-21"
"15.01.0466.037";"15.1.466.37";"MS16-108 Security Update for Exchange Server 2016 CU2";"2016-09-13"
"15.01.0544.027";"15.1.544.27";"Exchange Server 2016 CU3";"2016-09-20"
"15.01.0544.030";"15.1.544.30";"MS17-015 Security Update for Exchange Server 2016 CU3";"2017-03-14"
"15.01.0669.032";"15.1.669.32";"Exchange Server 2016 CU4";"2016-12-13"
"15.01.0845.034";"15.1.845.34";"Exchange Server 2016 CU5";"2017-03-21"
"15.01.0845.036";"15.1.845.36";"Security Update for Exchange Server 2016 CU5 (KB4018588)";"2017-07-11"
"15.01.0845.039";"15.1.845.39";"Security Update for Exchange Server 2016 CU5 (KB4036108)";"2017-09-12"
"15.01.1034.026";"15.1.1034.26";"Exchange Server 2016 CU6";"2017-06-27"
"15.01.1034.032";"15.1.1034.32";"Security Update for Exchange Server 2016 CU6 (KB4036108)";"2017-09-12"
"15.01.1034.033";"15.1.1034.33";"Security Update for Exchange Server 2016 CU6 (KB4045655)";"2017-12-12"
"15.01.1261.035";"15.1.1261.35";"Exchange Server 2016 CU7";"2017-09-19"
"15.01.1261.037";"15.1.1261.37";"Security Update for Exchange Server 2016 CU7 (KB4045655)";"2017-12-12"
"15.01.1415.002";"15.1.1415.2";"Exchange Server 2016 CU8";"2017-12-19"
"15.01.1415.007";"15.1.1415.7";"Security Update for Exchange Server 2016 CU8 (KB4092041)";"2018-05-08"
"15.01.1415.010";"15.1.1415.10";"Exchange Server 2016 CU8 Mar21SU";"2021-03-02"
"15.01.1466.003";"15.1.1466.3";"Exchange Server 2016 CU9";"2018-03-20"
"15.01.1466.008";"15.1.1466.8";"Security Update for Exchange Server 2016 CU9 (KB4092041)";"2018-05-08"
"15.01.1466.010";"15.1.1466.10";"Security Update for Exchange Server 2016 CU9 (KB4340731)";"2018-08-14"
"15.01.1466.012";"15.1.1466.12";"Security Update for Exchange Server 2016 CU9 (KB4459266)";"2018-10-09"
"15.01.1466.016";"15.1.1466.16";"Exchange Server 2016 CU9 Mar21SU";"2021-03-02"
"15.01.1531.003";"15.1.1531.3";"Exchange Server 2016 CU10";"2018-06-19"
"15.01.1531.006";"15.1.1531.6";"Security Update for Exchange Server 2016 CU10 (KB4340731)";"2018-08-14"
"15.01.1531.008";"15.1.1531.8";"Security Update for Exchange Server 2016 CU10 (KB4459266)";"2018-10-09"
"15.01.1531.010";"15.1.1531.10";"Security Update for Exchange Server 2016 CU10 (KB4471389)";"2019-01-09"
"15.01.1531.012";"15.1.1531.12";"Exchange Server 2016 CU10 Mar21SU";"2021-03-02"
"15.01.1591.010";"15.1.1591.10";"Exchange Server 2016 CU11";"2018-10-16"
"15.01.1591.013";"15.1.1591.13";"Security Update for Exchange Server 2016 CU11 (KB4471389)";"2019-01-09"
"15.01.1591.016";"15.1.1591.16";"Security Update for Exchange Server 2016 CU11 (KB4487563)";"2019-04-09"
"15.01.1591.017";"15.1.1591.17";"Security Update for Exchange Server 2016 CU11 (KB4503027)";"2019-06-11"
"15.01.1591.018";"15.1.1591.18";"Exchange Server 2016 CU11 Mar21SU";"2021-03-02"
"15.01.1713.005";"15.1.1713.5";"Exchange Server 2016 CU12";"2019-02-12"
"15.01.1713.006";"15.1.1713.6";"Security Update for Exchange Server 2016 CU12 (KB4487563)";"2019-04-09"
"15.01.1713.007";"15.1.1713.7";"Security Update for Exchange Server 2016 CU12 (KB4503027)";"2019-06-11"
"15.01.1713.008";"15.1.1713.8";"Security Update for Exchange Server 2016 CU12 (KB4509409)";"2019-07-09"
"15.01.1713.010";"15.1.1713.10";"Exchange Server 2016 CU12 Mar21SU";"2021-03-02"
"15.01.1779.002";"15.1.1779.2";"Exchange Server 2016 CU13";"2019-06-18"
"15.01.1779.004";"15.1.1779.4";"Security Update for Exchange Server 2016 CU13 (KB4509409)";"2019-07-09"
"15.01.1779.007";"15.1.1779.7";"Security Update for Exchange Server 2016 CU13 (KB4523171)";"2019-11-12"
"15.01.1779.008";"15.1.1779.8";"Exchange Server 2016 CU13 Mar21SU";"2021-03-02"
"15.01.1847.003";"15.1.1847.3";"Exchange Server 2016 CU14";"2019-09-17"
"15.01.1847.005";"15.1.1847.5";"Security Update for Exchange Server 2016 CU14 (KB4523171)";"2019-11-12"
"15.01.1847.007";"15.1.1847.7";"Security Update for Exchange Server 2016 CU14 (KB4536987)";"2020-02-11"
"15.01.1847.010";"15.1.1847.10";"Security Update for Exchange Server 2016 CU14 (KB4540123)";"2020-03-10"
"15.01.1847.012";"15.1.1847.12";"Exchange Server 2016 CU14 Mar21SU";"2021-03-02"
"15.01.1913.005";"15.1.1913.5";"Exchange Server 2016 CU15";"2019-12-17"
"15.01.1913.007";"15.1.1913.7";"Security Update for Exchange Server 2016 CU15 (KB4536987)";"2020-02-11"
"15.01.1913.010";"15.1.1913.10";"Security Update for Exchange Server 2016 CU15 (KB4540123)";"2020-03-10"
